"Name","Ticker","FundId","Firm Name ID","Firm Name","Branding Name ID","Branding Name","Inception 
Date","Listing Date","Obsolete 
Date","Obsolete 
Type","Merged Into 
Security","Merged into 
Security ID","Converted From Date","Converted From Name","Converted From Date","Converted From Name","Investment Type","US Category Group","Morningstar Category","Index 
Fund","Fund of 
Funds","Active Non Transparent","Tax Managed","Advisor","Domicile","Manager Name","Oldest 
Share Class","Ticker of 
Fund's 
Oldest Share Class","Name of 
Fund's 
Oldest Share Class","Subadvised","Subadvisor","Sustainable Investment Overall 
2023-01","Sustainable Investment Overall","Sustainable Investment - Environmental Sector Overall 
2021-05","Sustainable Investment - ESG Fund Overall 
2021-05","Estimated Share Class Net Flow (Yearly) 
Year2019 
USD","Estimated Share Class Net Flow (Yearly) 
Year2020 
USD","Estimated Share Class Net Flow (Yearly) 
Year2021 
USD","Estimated Share Class Net Flow (Yearly) 
Year2022 
USD","Estimated Share Class Net Flow (Yearly) 
Year2023 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD","Net Assets - share class (Monthly) 
2020-01 
USD","Net Assets - share class (Monthly) 
2020-02 
USD","Net Assets - share class (Monthly) 
2020-03 
USD","Net Assets - share class (Monthly) 
2020-04 
USD","Net Assets - share class (Monthly) 
2020-05 
USD","Net Assets - share class (Monthly) 
2020-06 
USD","Net Assets - share class (Monthly) 
2020-07 
USD","Net Assets - share class (Monthly) 
2020-08 
USD","Net Assets - share class (Monthly) 
2020-09 
USD","Net Assets - share class (Monthly) 
2020-10 
USD","Net Assets - share class (Monthly) 
2020-11 
USD","Net Assets - share class (Monthly) 
2020-12 
USD","Net Assets - share class (Monthly) 
2021-01 
USD","Net Assets - share class (Monthly) 
2021-02 
USD","Net Assets - share class (Monthly) 
2021-03 
USD","Net Assets - share class (Monthly) 
2021-04 
USD","Net Assets - share class (Monthly) 
2021-05 
USD","Net Assets - share class (Monthly) 
2021-06 
USD","Net Assets - share class (Monthly) 
2021-07 
USD","Net Assets - share class (Monthly) 
2021-08 
USD","Net Assets - share class (Monthly) 
2021-09 
USD","Net Assets - share class (Monthly) 
2021-10 
USD","Net Assets - share class (Monthly) 
2021-11 
USD","Net Assets - share class (Monthly) 
2021-12 
USD","Net Assets - share class (Monthly) 
2022-01 
USD","Net Assets - share class (Monthly) 
2022-02 
USD","Net Assets - share class (Monthly) 
2022-03 
USD","Net Assets - share class (Monthly) 
2022-04 
USD","Net Assets - share class (Monthly) 
2022-05 
USD","Net Assets - share class (Monthly) 
2022-06 
USD","Net Assets - share class (Monthly) 
2022-07 
USD","Net Assets - share class (Monthly) 
2022-08 
USD","Net Assets - share class (Monthly) 
2022-09 
USD","Net Assets - share class (Monthly) 
2022-10 
USD","Net Assets - share class (Monthly) 
2022-11 
USD","Net Assets - share class (Monthly) 
2022-12 
USD","Net Assets - share class (Monthly) 
2023-01 
USD","Net Assets - share class (Monthly) 
2023-02 
USD","Net Assets - share class (Monthly) 
2023-03 
USD","Net Assets - share class (Monthly) 
2023-04 
USD","Net Assets - share class (Monthly) 
2023-05 
USD","Net Assets - share class (Monthly) 
2023-06 
USD","Net Assets - share class (Monthly) 
2023-07 
USD","Net Assets - share class (Monthly) 
2023-08 
USD","Net Assets - share class (Monthly) 
2023-09 
USD","Net Assets - share class (Monthly) 
2023-10 
USD","Net Assets - share class (Monthly) 
2023-11 
USD","Net Assets - share class (Monthly) 
2023-12 
USD"
"Stone Ridge Glbl Eq Vrnc Rsk Prm Mstr M","","FS0000AP5R","0C00009F7P","STONE RIDGE","BN00000DTV","Stoneridge","2015-02-28","","2019-10-28","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Stone Ridge Glbl Eq Vrnc Rsk Prm Mstr I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Aug)Inst","","FS0000CEGC","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","CBOE Vest S&P 500® Buffer Strt (Aug) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Aug) Inv","","FS0000CEGC","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","CBOE Vest S&P 500® Buffer Strt (Aug) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Aug) A","","FS0000CEGC","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","CBOE Vest S&P 500® Buffer Strt (Aug) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Aug) C","","FS0000CEGC","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","CBOE Vest S&P 500® Buffer Strt (Aug) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Sep)Inst","","FS0000CEGD","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","CBOE Vest S&P 500® Buffer Strt (Sep) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Sep) Inv","","FS0000CEGD","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","CBOE Vest S&P 500® Buffer Strt (Sep) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Sep) A","","FS0000CEGD","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","CBOE Vest S&P 500® Buffer Strt (Sep) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Sep) C","","FS0000CEGD","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","CBOE Vest S&P 500® Buffer Strt (Sep) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBOE Vest S&P 500® Buffer Strt (Oct)Inst","","FS0000CEGE","0C0000B5C4","CBOE Vest","BN00000J39","vest","2016-05-16","","2020-02-24","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","CBOE Vest S&P 500® Buffer Strt (Oct) A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
